pm2_5,pm10,temperature_2m,relative_humidity_2m,wind_speed_10m,hour,day_of_week,pm2_5_lag_1,pm2_5_lag_3,pm2_5_rolling_mean_6,high_pollution_next_hour
65.0,419.1,43.8,7,6.9,12,3,66.8,78.0,71.01666666666667,0
62.6,418.2,44.4,7,7.3,13,3,65.0,73.8,71.13333333333333,0
65.4,476.8,44.9,7,7.0,14,3,62.6,66.8,69.85000000000001,0
92.7,869.9,45.0,7,8.7,15,3,65.4,65.0,68.60000000000001,0
95.0,897.8,44.5,7,9.9,16,3,92.7,62.6,71.05,0
103.6,976.0,44.1,7,11.2,17,3,95.0,65.4,74.58333333333333,0
111.5,1039.4,43.5,7,12.3,18,3,103.6,92.7,80.71666666666667,0
132.2,1169.7,42.3,7,14.3,19,3,111.5,95.0,88.46666666666668,0
129.9,1087.8,41.4,8,8.1,20,3,132.2,103.6,100.06666666666666,0
123.9,1009.6,40.8,8,8.3,21,3,129.9,111.5,110.81666666666666,0
111.1,862.4,39.5,9,7.9,22,3,123.9,132.2,116.01666666666665,0
89.9,629.6,38.7,10,5.9,23,3,111.1,129.9,118.69999999999999,0
65.0,371.6,38.6,10,4.9,0,4,89.9,123.9,116.41666666666667,0
48.9,234.7,37.8,10,6.1,1,4,65.0,111.1,108.66666666666667,0
39.3,167.6,36.6,12,4.2,2,4,48.9,89.9,94.78333333333335,0
43.1,147.6,36.2,13,3.5,3,4,39.3,65.0,79.68333333333334,0
40.6,134.6,34.7,15,0.4,4,4,43.1,48.9,66.21666666666667,0
40.0,128.5,33.4,19,1.7,5,4,40.6,39.3,54.46666666666667,0
41.1,127.1,32.9,17,2.9,6,4,40.0,43.1,46.15,0
43.2,129.9,34.6,13,2.3,7,4,41.1,40.6,42.166666666666664,0
45.4,151.3,37.6,11,1.5,8,4,43.2,40.0,41.21666666666667,0
57.4,285.9,39.8,9,1.0,9,4,45.4,41.1,42.233333333333334,0
57.3,333.4,41.9,8,1.2,10,4,57.4,43.2,44.616666666666674,0
48.1,271.0,43.2,7,4.0,11,4,57.3,45.4,47.4,0
48.3,295.2,44.1,6,8.0,12,4,48.1,57.4,48.75,0
54.5,389.3,44.5,6,10.1,13,4,48.3,57.3,49.949999999999996,0
63.8,512.2,44.8,6,8.8,14,4,54.5,48.1,51.833333333333336,0
109.7,1080.3,45.0,6,12.8,15,4,63.8,48.3,54.9,0
111.3,1084.1,44.2,6,14.4,16,4,109.7,54.5,63.61666666666667,0
128.1,1262.9,43.9,6,13.3,17,4,111.3,63.8,72.61666666666666,0
148.1,1426.8,43.4,6,12.3,18,4,128.1,109.7,85.95,1
168.6,1486.4,42.4,7,9.7,19,4,148.1,111.3,102.58333333333333,1
166.2,1438.0,41.1,7,9.3,20,4,168.6,128.1,121.59999999999998,0
149.5,1266.6,40.2,7,7.1,21,4,166.2,148.1,138.66666666666666,0
122.0,972.3,39.1,9,4.1,22,4,149.5,168.6,145.29999999999998,0
86.8,607.2,38.1,8,6.9,23,4,122.0,166.2,147.08333333333334,0
62.2,379.0,37.0,9,5.8,0,5,86.8,149.5,140.2,0
55.1,322.2,36.2,10,5.9,1,5,62.2,122.0,125.88333333333333,0
51.8,268.2,35.5,11,3.8,2,5,55.1,86.8,106.96666666666668,0
57.4,268.2,35.2,11,4.0,3,5,51.8,62.2,87.89999999999999,0
54.0,224.9,34.4,12,4.8,4,5,57.4,55.1,72.55,0
52.9,204.9,33.8,15,3.5,5,5,54.0,51.8,61.21666666666667,0
53.3,194.2,33.6,17,1.8,6,5,52.9,57.4,55.56666666666666,0
56.2,190.5,34.7,11,2.3,7,5,53.3,54.0,54.083333333333336,0
52.7,143.4,37.0,10,1.4,8,5,56.2,52.9,54.26666666666666,0
50.1,170.0,39.2,10,3.1,9,5,52.7,53.3,54.416666666666664,0
42.5,163.4,41.3,8,0.8,10,5,50.1,56.2,53.199999999999996,0
50.5,366.0,42.9,7,4.7,11,5,42.5,52.7,51.28333333333333,0
89.2,825.2,44.0,6,10.9,12,5,50.5,50.1,50.88333333333333,0
116.2,1110.1,44.6,6,10.7,13,5,89.2,42.5,56.86666666666667,0
134.1,1285.2,45.1,6,15.9,14,5,116.2,50.5,66.86666666666667,0
120.6,1177.2,44.4,6,15.4,15,5,134.1,89.2,80.43333333333334,0
120.1,1147.4,44.1,6,13.4,16,5,120.6,116.2,92.18333333333334,0
124.8,1184.6,43.6,7,13.9,17,5,120.1,134.1,105.11666666666667,0
135.0,1259.1,42.6,7,13.8,18,5,124.8,120.6,117.5,1
153.7,1344.8,41.7,8,10.7,19,5,135.0,120.1,125.13333333333333,0
139.2,1177.2,41.0,8,9.5,20,5,153.7,124.8,131.38333333333333,0
113.2,892.2,40.2,9,10.7,21,5,139.2,135.0,132.23333333333332,0
78.5,523.4,39.0,9,7.8,22,5,113.2,153.7,131.0,0
55.3,304.5,38.0,11,4.0,23,5,78.5,139.2,124.06666666666668,0
48.2,245.9,37.3,15,1.8,0,6,55.3,113.2,112.48333333333333,0
45.5,218.4,36.2,16,1.3,1,6,48.2,78.5,98.01666666666667,0
44.5,205.8,35.3,17,0.7,2,6,45.5,55.3,79.98333333333333,0
42.1,177.9,35.1,18,0.9,3,6,44.5,48.2,64.2,0
42.4,173.7,33.9,14,4.4,4,6,42.1,45.5,52.35,0
43.9,175.1,33.1,19,3.4,5,6,42.4,44.5,46.333333333333336,0
46.6,177.0,32.4,16,2.1,6,6,43.9,42.1,44.43333333333334,0
53.2,163.9,33.7,14,3.7,7,6,46.6,42.4,44.166666666666664,0
52.4,178.3,36.6,12,2.0,8,6,53.2,43.9,45.45000000000001,0
51.5,238.0,39.6,10,1.8,9,6,52.4,46.6,46.76666666666667,0
64.0,497.3,41.6,9,7.0,10,6,51.5,53.2,48.333333333333336,0
96.6,875.4,43.0,8,11.1,11,6,64.0,52.4,51.93333333333334,0
126.7,1180.9,44.1,7,12.6,12,6,96.6,51.5,60.71666666666666,1
154.1,1441.7,44.9,7,17.8,13,6,126.7,64.0,74.06666666666668,1
181.1,1668.9,45.1,6,18.0,14,6,154.1,96.6,90.88333333333333,1
223.5,2026.6,45.2,6,19.6,15,6,181.1,126.7,112.33333333333333,1
233.8,2101.1,44.8,6,18.9,16,6,223.5,154.1,141.0,1
232.8,2071.3,44.2,6,18.5,17,6,233.8,181.1,169.29999999999998,1
236.6,2056.4,43.5,6,17.6,18,6,232.8,223.5,192.0,1
210.9,1691.3,42.4,7,13.7,19,6,236.6,233.8,210.31666666666663,1
164.4,1244.2,41.5,7,9.4,20,6,210.9,232.8,219.78333333333333,0
112.0,659.4,40.5,8,7.8,21,6,164.4,236.6,217.0,0
87.8,440.5,39.3,9,6.5,22,6,112.0,210.9,198.41666666666666,0
78.2,366.9,38.4,10,6.6,23,6,87.8,164.4,174.08333333333334,0
74.0,332.5,37.2,11,4.7,0,0,78.2,112.0,148.31666666666666,0
70.1,302.7,36.2,12,5.2,1,0,74.0,87.8,121.21666666666665,0
62.4,250.5,35.1,13,5.8,2,0,70.1,78.2,97.75,0
64.7,250.5,34.9,13,5.9,3,0,62.4,74.0,80.75,0
74.5,401.4,33.8,14,6.8,4,0,64.7,70.1,72.86666666666666,0
92.4,612.8,33.3,14,6.8,5,0,74.5,62.4,70.64999999999999,0
108.3,780.4,33.4,14,6.8,6,0,92.4,64.7,73.01666666666667,0
116.4,868.0,34.9,13,5.0,7,0,108.3,74.5,78.73333333333333,0
110.6,787.9,37.2,11,4.9,8,0,116.4,92.4,86.44999999999999,0
113.4,914.6,39.1,11,7.2,9,0,110.6,108.3,94.48333333333333,0
135.5,1166.0,41.2,10,9.7,10,0,113.4,116.4,102.60000000000001,1
164.8,1464.0,42.9,9,12.5,11,0,135.5,110.6,112.76666666666667,1
186.3,1668.9,44.0,8,14.0,12,0,164.8,113.4,124.83333333333333,1
201.2,1795.6,44.6,7,15.0,13,0,186.3,135.5,137.83333333333334,1
210.9,1877.5,45.0,7,15.6,14,0,201.2,164.8,151.96666666666667,1
210.0,1907.3,45.3,6,16.8,15,0,210.9,186.3,168.68333333333334,1
217.0,1952.1,45.0,7,16.7,16,0,210.0,201.2,184.78333333333333,1
223.1,1981.9,44.5,7,16.9,17,0,217.0,210.9,198.36666666666667,1
250.5,2093.6,43.7,7,16.6,18,0,223.1,210.0,208.08333333333334,1
231.0,1844.0,42.7,8,14.5,19,0,250.5,217.0,218.7833333333333,1
211.4,1691.3,42.0,9,13.3,20,0,231.0,223.1,223.75,1
198.4,1587.0,41.0,9,12.7,21,0,211.4,250.5,223.83333333333334,1
206.3,1676.4,40.0,9,11.7,22,0,198.4,231.0,221.9,1
235.6,1903.6,38.9,10,10.2,23,0,206.3,211.4,220.11666666666667,1
252.4,1981.9,37.7,11,9.0,0,1,235.6,198.4,222.20000000000002,1
241.2,1855.2,36.4,13,7.6,1,1,252.4,206.3,222.51666666666668,1
214.7,1628.0,35.3,14,7.0,2,1,241.2,235.6,224.2166666666667,1
186.7,1307.6,35.2,15,6.8,3,1,214.7,252.4,224.76666666666665,1
159.3,1061.7,34.3,15,6.5,4,1,186.7,241.2,222.81666666666663,0
128.5,758.1,33.5,17,5.3,5,1,159.3,214.7,214.98333333333332,0
105.7,555.1,33.3,17,5.2,6,1,128.5,186.7,197.13333333333333,0
98.7,530.9,34.7,15,4.4,7,1,105.7,159.3,172.6833333333333,0
99.7,638.9,36.2,13,7.2,8,1,98.7,128.5,148.93333333333334,0
116.9,946.2,37.8,12,8.2,9,1,99.7,105.7,129.76666666666668,0
129.9,1162.3,39.6,10,7.6,10,1,116.9,98.7,118.13333333333334,0
135.5,1240.5,41.4,9,7.1,11,1,129.9,99.7,113.23333333333333,0
134.6,1236.8,42.9,9,7.3,12,1,135.5,116.9,114.40000000000002,0
130.9,1207.0,43.8,8,8.7,13,1,134.6,129.9,119.21666666666668,0
127.1,1177.2,44.2,8,10.3,14,1,130.9,135.5,124.58333333333333,0
100.8,979.8,44.2,8,10.1,15,1,127.1,134.6,129.15,0
104.5,1024.5,44.1,8,11.0,16,1,100.8,130.9,126.46666666666665,0
108.3,1061.7,43.8,8,12.6,17,1,104.5,127.1,122.23333333333333,0
113.2,1102.7,42.9,9,12.6,18,1,108.3,100.8,117.7,0
132.2,1184.6,42.1,9,9.4,19,1,113.2,104.5,114.13333333333333,0
110.1,851.2,41.3,10,7.4,20,1,132.2,108.3,114.34999999999998,0
91.7,638.9,40.7,10,6.7,21,1,110.1,113.2,111.51666666666665,0
73.6,459.1,39.4,11,7.2,22,1,91.7,132.2,110.0,0
53.2,260.8,38.3,11,6.4,23,1,73.6,110.1,104.85000000000001,0
42.7,177.0,37.4,13,4.1,0,2,53.2,91.7,95.66666666666664,0
38.2,145.8,36.7,17,1.8,1,2,42.7,73.6,83.91666666666667,0
37.5,132.2,35.9,18,0.2,2,2,38.2,53.2,68.25,0
42.7,150.4,36.1,19,1.0,3,2,37.5,42.7,56.15,0
43.1,146.7,35.1,19,2.1,4,2,42.7,38.2,47.98333333333333,0
43.3,143.0,34.4,19,1.8,5,2,43.1,37.5,42.900000000000006,0
44.6,140.6,33.7,18,1.3,6,2,43.3,42.7,41.25,0
49.6,122.0,34.9,15,2.8,7,2,44.6,43.1,41.56666666666667,0
48.4,201.6,37.4,12,3.1,8,2,49.6,43.3,43.46666666666667,0
44.7,269.2,39.3,11,3.9,9,2,48.4,44.6,45.28333333333333,0
40.2,268.2,41.1,9,3.3,10,2,44.7,49.6,45.616666666666674,0
39.6,251.5,42.6,9,6.5,11,2,40.2,48.4,45.13333333333333,0
52.5,363.2,43.6,8,10.4,12,2,39.6,44.7,44.51666666666667,0
71.5,549.5,44.2,8,11.5,13,2,52.5,40.2,45.833333333333336,0
90.3,735.7,44.7,8,10.1,14,2,71.5,39.6,49.48333333333333,0
135.0,1240.5,45.3,8,13.2,15,2,90.3,52.5,56.46666666666667,0
132.2,1225.6,45.0,8,14.3,16,2,135.0,71.5,71.51666666666667,0
132.2,1233.1,44.5,8,13.0,17,2,132.2,90.3,86.84999999999998,0
133.2,1240.5,44.0,8,10.7,18,2,132.2,135.0,102.28333333333335,0
140.6,1203.3,43.2,9,6.7,19,2,133.2,132.2,115.73333333333333,0
107.8,758.1,42.2,9,5.6,20,2,140.6,132.2,127.25,0
87.8,549.5,41.4,10,5.3,21,2,107.8,133.2,130.16666666666666,0
92.4,646.3,40.1,11,5.2,22,2,87.8,140.6,122.3,0
122.0,1009.6,39.2,10,7.6,23,2,92.4,107.8,115.66666666666667,0
139.2,1192.1,37.9,12,5.8,0,3,122.0,87.8,113.96666666666665,0
116.9,944.4,37.0,13,4.6,1,3,139.2,92.4,114.96666666666665,0
73.8,488.0,36.3,17,2.3,2,3,116.9,122.0,111.01666666666665,0
32.8,146.2,36.4,19,1.1,3,3,73.8,139.2,105.35000000000001,0
30.4,128.1,35.3,17,3.2,4,3,32.8,116.9,96.18333333333332,0
27.8,113.2,34.6,15,4.5,5,3,30.4,73.8,85.84999999999998,0
33.6,183.9,33.9,15,5.9,6,3,27.8,32.8,70.14999999999999,0
90.3,754.4,34.9,14,4.7,7,3,33.6,30.4,52.550000000000004,0
109.7,916.4,37.0,12,5.0,8,3,90.3,27.8,48.11666666666667,0
109.7,1024.5,39.2,9,6.7,9,3,109.7,33.6,54.099999999999994,0
99.7,961.1,40.9,8,6.4,10,3,109.7,90.3,66.91666666666667,0
90.1,871.7,42.4,7,5.9,11,3,99.7,109.7,78.46666666666667,0
86.8,841.9,43.6,7,5.4,12,3,90.1,109.7,88.85000000000001,0
89.2,869.9,44.4,7,6.0,13,3,86.8,99.7,97.71666666666665,0
94.1,920.1,44.8,7,8.5,14,3,89.2,90.1,97.53333333333335,0
95.0,929.5,44.7,7,9.7,15,3,94.1,86.8,94.93333333333334,0
101.7,994.7,44.3,7,10.2,16,3,95.0,89.2,92.48333333333333,0
108.0,1050.5,43.8,7,11.0,17,3,101.7,94.1,92.81666666666666,0
117.3,1132.5,43.1,7,11.8,18,3,108.0,95.0,95.8,0
140.6,1240.5,42.1,8,10.3,19,3,117.3,101.7,100.88333333333333,0
126.7,1002.1,41.2,9,9.5,20,3,140.6,108.0,109.44999999999999,0
128.5,1013.3,40.1,9,10.6,21,3,126.7,117.3,114.88333333333334,0
139.7,1147.4,38.6,10,7.9,22,3,128.5,140.6,120.46666666666665,0
141.6,1162.3,37.7,11,6.5,23,3,139.7,126.7,126.8,0
128.5,1020.7,36.8,12,5.2,0,4,141.6,128.5,132.4,0
115.0,888.5,35.8,12,5.1,1,4,128.5,139.7,134.26666666666668,0
106.2,815.8,34.9,12,6.9,2,4,115.0,141.6,130.0,0
127.1,990.9,34.8,13,6.2,3,4,106.2,128.5,126.58333333333331,0
116.6,899.7,33.7,12,7.6,4,4,127.1,115.0,126.35000000000001,0
108.3,832.6,32.8,12,6.5,5,4,116.6,106.2,122.5,0
100.8,763.7,32.7,13,4.9,6,4,108.3,127.1,116.94999999999999,0
100.6,745.1,33.9,11,2.7,7,4,100.8,116.6,112.33333333333333,0
93.6,683.6,35.8,11,3.3,8,4,100.6,108.3,109.93333333333332,0
107.3,849.4,37.9,11,4.3,9,4,93.6,100.8,107.83333333333333,0
113.2,957.4,39.9,10,6.0,10,4,107.3,100.6,104.53333333333335,0
102.9,895.9,41.2,9,6.7,11,4,113.2,93.6,103.96666666666665,0
98.3,858.7,42.2,9,7.5,12,4,102.9,107.3,103.06666666666666,0
99.4,875.4,42.8,8,8.5,13,4,98.3,113.2,102.64999999999999,0
102.4,912.7,43.0,8,8.7,14,4,99.4,102.9,102.45,0
124.8,1143.7,43.0,8,8.6,15,4,102.4,98.3,103.91666666666667,0
122.9,1128.8,43.1,8,10.0,16,4,124.8,99.4,106.83333333333336,0
129.5,1195.8,42.6,8,13.0,17,4,122.9,102.4,108.45,0
139.7,1292.7,41.8,8,13.1,18,4,129.5,124.8,112.88333333333334,1
170.9,1519.9,40.4,9,16.3,19,4,139.7,122.9,119.78333333333335,1
171.4,1478.9,40.0,9,13.1,20,4,170.9,129.5,131.70000000000002,1
170.4,1449.1,39.4,9,13.3,21,4,171.4,139.7,143.20000000000002,1
160.2,1326.2,37.9,10,7.4,22,4,170.4,170.9,150.79999999999998,0
143.4,1128.8,36.7,11,7.9,23,4,160.2,171.4,157.01666666666668,0
128.1,972.3,36.1,11,9.5,0,5,143.4,170.4,159.33333333333334,0
124.8,953.7,35.1,11,7.6,1,5,128.1,160.2,157.4,0
131.8,1043.1,34.2,12,7.0,2,5,124.8,143.4,149.71666666666667,0
114.1,828.9,33.9,13,7.6,3,5,131.8,128.1,143.11666666666667,0
98.3,683.6,33.2,14,7.9,4,5,114.1,124.8,133.73333333333332,0
79.2,502.9,32.3,15,6.7,5,5,98.3,131.8,123.41666666666667,0
71.9,451.7,32.0,16,5.1,6,5,79.2,114.1,112.71666666666665,0
81.7,532.7,33.3,15,3.4,7,5,71.9,98.3,103.34999999999998,0
84.1,596.0,35.4,13,4.3,8,5,81.7,79.2,96.16666666666667,0
107.8,825.2,37.7,12,5.5,9,5,84.1,71.9,88.21666666666665,0
114.3,899.7,39.8,10,7.0,10,5,107.8,81.7,87.16666666666667,0
91.0,722.7,41.2,9,5.9,11,5,114.3,84.1,89.83333333333333,0
84.3,668.7,42.1,9,7.3,12,5,91.0,107.8,91.8,0
90.8,761.8,42.7,8,9.2,13,5,84.3,114.3,93.86666666666667,0
105.2,927.6,42.8,8,10.3,14,5,90.8,91.0,95.38333333333333,0
119.7,1099.0,42.9,8,10.9,15,5,105.2,84.3,98.89999999999999,0
125.7,1158.6,42.5,8,10.7,16,5,119.7,90.8,100.88333333333334,0
128.5,1188.4,42.0,8,11.5,17,5,125.7,105.2,102.78333333333335,0
136.9,1262.9,41.1,9,13.4,18,5,128.5,119.7,109.03333333333335,1
165.3,1445.4,40.1,9,11.3,19,5,136.9,125.7,117.80000000000001,1
154.1,1266.6,39.3,10,6.6,20,5,165.3,128.5,130.21666666666667,0
143.4,1128.8,39.2,10,8.0,21,5,154.1,136.9,138.36666666666665,0
132.7,1020.7,38.0,10,9.4,22,5,143.4,165.3,142.3166666666667,0
126.7,964.9,36.7,12,6.0,23,5,132.7,154.1,143.48333333333332,0
128.1,990.9,35.7,12,7.9,0,6,126.7,143.4,143.18333333333334,0
137.4,1091.5,34.6,13,7.6,1,6,128.1,132.7,141.71666666666667,1
154.6,1259.1,33.8,13,8.5,2,6,137.4,126.7,137.0666666666667,1
203.0,1665.2,33.6,13,8.4,3,6,154.6,128.1,137.15,1
197.4,1616.8,32.7,12,8.9,4,6,203.0,137.4,147.08333333333334,1
193.7,1605.6,31.9,13,8.7,5,6,197.4,154.6,157.86666666666667,1
179.7,1478.9,31.9,13,8.3,6,6,193.7,203.0,169.03333333333333,1
162.5,1285.2,33.0,12,6.1,7,6,179.7,197.4,177.63333333333333,0
126.7,1020.7,34.9,11,7.6,8,6,162.5,193.7,181.81666666666663,0
126.2,1132.5,37.1,9,7.3,9,6,126.7,179.7,177.16666666666666,0
131.8,1244.2,39.2,8,8.1,10,6,126.2,162.5,164.36666666666667,0
116.2,1099.0,40.7,7,8.6,11,6,131.8,126.7,153.4333333333333,0
112.2,1072.9,41.6,7,9.0,12,6,116.2,126.2,140.51666666666668,0
128.5,1229.3,42.3,7,11.1,13,6,112.2,131.8,129.26666666666668,1
153.2,1478.9,42.6,7,13.8,14,6,128.5,116.2,123.60000000000001,1
164.4,1616.8,42.5,7,15.7,15,6,153.2,112.2,128.01666666666668,1
182.1,1765.8,41.8,7,16.6,16,6,164.4,128.5,134.38333333333333,1
197.4,1881.3,41.2,7,15.2,17,6,182.1,153.2,142.76666666666668,1
215.1,2011.7,40.4,8,15.6,18,6,197.4,164.4,156.29999999999998,1
240.3,2048.9,39.5,8,13.5,19,6,215.1,182.1,173.45000000000002,1
240.3,2026.6,38.6,8,14.9,20,6,240.3,197.4,192.08333333333334,1
237.5,2011.7,38.1,7,14.5,21,6,240.3,215.1,206.60000000000002,1
234.7,1989.3,37.0,8,11.9,22,6,237.5,240.3,218.78333333333333,1
228.2,1937.2,35.7,9,9.6,23,6,234.7,240.3,227.54999999999998,1
222.1,1873.8,34.5,10,8.8,0,0,228.2,237.5,232.6833333333333,1
217.9,1832.8,33.5,11,8.0,1,0,222.1,234.7,233.85,1
217.9,1836.6,32.7,11,8.5,2,0,217.9,228.2,230.11666666666667,1
194.2,1661.5,32.5,12,8.1,3,0,217.9,222.1,226.38333333333333,1
206.8,1777.0,31.6,13,8.7,4,0,194.2,217.9,219.16666666666666,1
215.1,1836.6,31.0,14,9.1,5,0,206.8,217.9,214.51666666666668,1
213.7,1799.3,31.0,15,7.6,6,0,215.1,194.2,212.33333333333334,1
206.8,1695.0,31.8,14,6.1,7,0,213.7,206.8,210.93333333333337,1
172.8,1471.5,33.6,14,7.6,8,0,206.8,215.1,209.08333333333334,1
183.5,1631.7,35.5,14,10.1,9,0,172.8,213.7,201.56666666666663,1
194.2,1788.1,37.2,13,11.3,10,0,183.5,206.8,199.78333333333333,1
211.9,1952.1,38.6,11,11.9,11,0,194.2,172.8,197.68333333333337,1
226.8,2078.7,39.4,10,13.0,12,0,211.9,183.5,197.15,1
239.3,2175.6,40.1,8,15.0,13,0,226.8,194.2,199.33333333333334,1
245.9,2227.7,40.1,10,16.0,14,0,239.3,211.9,204.75,1
255.2,2317.1,40.3,10,16.5,15,0,245.9,226.8,216.93333333333337,1
254.3,2302.2,40.0,10,16.0,16,0,255.2,239.3,228.88333333333335,1
265.4,2376.7,39.7,10,16.5,17,0,254.3,245.9,238.9,1
284.1,2488.5,39.0,10,16.7,18,0,265.4,255.2,247.8166666666667,1
296.2,2399.1,38.2,10,14.4,19,0,284.1,254.3,257.3666666666667,1
275.7,2212.8,37.4,10,12.8,20,0,296.2,265.4,266.85,1
256.1,2078.7,37.1,11,12.1,21,0,275.7,284.1,271.81666666666666,1
235.2,1944.6,36.1,11,9.6,22,0,256.1,296.2,271.96666666666664,1
217.0,1806.8,35.1,12,8.6,23,0,235.2,275.7,268.78333333333336,0
